_id,TASK_ID,content,temperature
LLM,ENG_LLM,"**¡Únete a la lucha por la conservación de nuestro planeta!**

La Tierra es un mundo precioso, lleno de vida y diversidad. Sin embargo, la especie humana ha provocado una crisis ambiental sin precedentes, amenazando la existencia misma de muchos seres vivos.

Pero no hay esperanza perdida. La Fundación para la Vida Silvestre (WWF) se compromete a proteger la naturaleza y reducir los más graves peligros que enfrenta la diversidad de vida en nuestro planeta. Nuestra visión es construir un futuro donde las personas vivan en armonía con la naturaleza.

**Juntémonos para salvar el planeta!**

La WWF busca inspirar a todos, desde las comunidades más pequeñas hasta las organizaciones multinacionales más grandes, a unirse en la causa de la conservación. Queremos ser la voz para aquellos que no tienen una voz, hablar por su futuro y aplicar nuestra riqueza de talentos, conocimientos y pasión para hacer del mundo un lugar más rico en vida, espiritualidad y maravilla natural.

**¡Únete a nosotros!**

Con tu apoyo, podemos lograr grandes cosas. Juntos, podemos proteger los ecosistemas que nos brindan oxígeno, alimentos y agua; salvar las especies en peligro de extinción; y asegurar un futuro sostenible para todas las generaciones venideras.

**¡Hagámoslo ahora!**

Registra tu apoyo a la WWF hoy mismo y juntos, podremos hacer una diferencia significativa en el planeta que nos rodea.",0.63
LLM,ENG_LLM,"**Unete a la lucha por el futuro de nuestro planeta**

¿Sabías que más del 80% de los seres humanos viven en áreas con problemas de conservación? ¿Que la pérdida de biodiversidad es una de las mayores amenazas para la supervivencia de nuestra especie?

La Fundación Mundial para la Vida Silvestre (WWF) se esfuerza por proteger la naturaleza y reducir los más graves peligros que enfrenta la diversidad de vida en nuestro planeta. Nuestra visión es construir un futuro donde las personas vivan en armonía con la naturaleza.

**¿Qué podemos hacer?**

* Ayudar a preservar los hábitats naturales y proteger a las especies amenazadas.
* Fomentar una conciencia sobre la importancia de la conservación y promover prácticas sostenibles.
* Apoyar proyectos que buscan reducir el impacto humano en el medio ambiente.

**Únete a nosotros**

La WWF es una organización líder en la protección del medio ambiente. Con tu apoyo, podemos hacer una gran diferencia. **Contribuye hoy mismo y juntos podremos construir un futuro más sostenible para todos.**",0.32
LLM,ENG_LLM,"¡Únete a la lucha por proteger nuestro planeta y sus increíbles criaturas!

La World Wildlife Fund (WWF) es una organización sin fines de lucro que trabaja incansablemente para conservar la naturaleza y reducir las amenazas más graves a la diversidad de vida en la Tierra. Nuestro sueño es crear un futuro donde la humanidad viva en armonía con la naturaleza.

¿Sabías que cada año, se pierden millones de especies debido a la deforestación, la contaminación y el cambio climático? Es por eso que necesitamos tu ayuda para salvar nuestro planeta. Con tu apoyo, podemos proteger los hábitats de las especies más vulnerables, preservar los ecosistemas y promover prácticas sostenibles.

La WWF es la voz de aquellas criaturas que no tienen una voz propia. Hablamos por su futuro y aplicamos nuestra riqueza de talentos, conocimiento y pasión para hacer del mundo un lugar más rico en vida, espíritu y maravillosa belleza natural.

¡Únete a nosotros en esta importante misión! ¡Juntos podemos lograr grandes cosas!

* Colabora con nosotros en la protección de los hábitats naturales.
* Apoya nuestras campañas para reducir el impacto humano sobre el medio ambiente.
* Inspira a tus amigos y familiares a unirse a nuestra causa.

¡El futuro del planeta depende de ti! ¡Únete a la WWF hoy mismo y juntos podemos crear un mundo más sostenible y próspero para todos.",0.7
LLM,ENG_LLM,"**Unamos Nuestros Esfuerzos para Proteger la Naturaleza**

¿Sabías que cada día, más de 150 especies de animales y plantas se ven amenazadas por la pérdida de hábitat, la contaminación y el cambio climático? La Fundación Mundial para la Vida Silvestre (WWF) trabaja incansablemente para proteger la naturaleza y reducir los principales riesgos que enfrenta la diversidad de vida en nuestro planeta.

Nuestra visión es un futuro en el que las personas vivan en armonía con la naturaleza. Queremos inspirar a todos, desde comunidades locales hasta organizaciones multinacionales, para que se unan a nosotros en esta causa importante. Queremos ser la voz de aquellos que no tienen voz y hablar por su futuro.

**¿Qué puedes hacer?**

* Apoyanos con una donación y ayudenos a proteger a los animales y plantas más vulnerables.
* Comparte nuestra misión con tus amigos y familiares para que se unan a nosotros en esta causa importante.
* Reduce tu huella de carbono y ayúdanos a mitigar el cambio climático.

**Juntos podemos hacer la diferencia.**

¡Únete a nosotros en este esfuerzo por proteger la naturaleza y asegurar un futuro próspero para todas las especies que compartimos nuestro planeta!",0.15
LLM,ENG_LLM,"**Salva la Naturaleza, Salvas al Planeta**

¿Sabes que cada día se pierde una especie más en la faz de la Tierra? Es hora de actuar. La Fundación para la Vida Silvestre (WWF) es tu aliada en este proceso.

Nuestra misión es conservar la naturaleza y reducir los mayores riesgos a la diversidad de vida en nuestro planeta. Queremos construir un futuro donde las personas vivan en armonía con la naturaleza, no en competencia contra ella.

Necesitamos tu ayuda para proteger al mundo de vida que compartimos con nuestros hijos y nietos. Los animales necesitan una voz, y tú puedes ser esa voz. Con tu apoyo, podemos preservar el patrimonio natural de nuestra especie, asegurando un futuro próspero para todas las criaturas que habitan este planeta.

Únete a nosotros en esta apasionante misión. Juntos, podemos lograr lo imposible y construir un mundo donde la naturaleza sea respetada y amada. ¡Apoya a la WWF hoy mismo!",1.0
LLM,ENG_LLM,"**¡Juntos, podemos salvar el planeta!**

La World Wildlife Fund (WWF) es una organización sin fines de lucro que lucha por la conservación de la naturaleza y la reducción de los más graves peligros para la diversidad de vida en la Tierra. Nuestra visión es construir un futuro en el que las personas vivan en armonía con la naturaleza.

En un mundo donde cada especie tiene derecho a sobrevivir, ¿qué podemos hacer por ellos? Pues mucho más de lo que imaginamos. Con tu apoyo, podemos:

* Proteger a los animales amenazados de extinción
* Conservar los ecosistemas y mantener la biodiversidad
* Educar a las próximas generaciones sobre la importancia de la naturaleza

**¡Es hora de actuar!**

Necesitamos tu ayuda para que podamos seguir adelante con nuestros proyectos y programas de conservación. Cada donación, cada acción y cada voz en contra de la destrucción del medio ambiente es fundamental.

Unidos podemos lograr grandes cosas. **Juntos, podemos salvar el planeta**. ¡Únete a nosotros en esta importante misión!",0.68
LLM,ENG_LLM,"**Sólo tú puedes hacer la diferencia**

¿Sabes que cada año, millones de especies se ven amenazadas por la pérdida de hábitat, la contaminación y el cambio climático? Es hora de actuar. La Fundación para la Vida Silvestre (WWF) está trabajando incansablemente para proteger la naturaleza y reducir los peligros más apremiantes para la diversidad de la vida en la Tierra.

Nuestro objetivo es crear un futuro donde las personas vivan en armonía con la naturaleza. Queremos inspirar a todos a respetar y amar la naturaleza, y a creer en las posibilidades humanas. Queremos ser la voz de aquellos que no tienen una voz, y hablar por su futuro.

**Únete a nosotros**

Con tu apoyo, podemos lograr grandes cosas:

* Proteger los hábitats de especies amenazadas como el tigre, el león y el elefante.
* Reducir la contaminación y el cambio climático.
* Promover prácticas sostenibles en todo el mundo.

**Haz una donación hoy mismo**

Cada peso cuenta. Tu contribución puede hacer la diferencia en la vida de miles de especies que dependen de nosotros. ¡Únete a la lucha por proteger la naturaleza y crear un futuro mejor para todos!",0.43
LLM,ENG_LLM,"**¡Un Futuro para la Vida!**

¿Sabes que cada segundo, un animal más desaparece de nuestro planeta? La naturaleza nos ha dado tanto, pero nosotros le estamos devolviendo tan poco. Es hora de actuar.

La Fundación Mundial para la Vida Silvestre (WWF) lucha por conservar la naturaleza y reducir las amenazas más graves que enfrenta la diversidad de vida en la Tierra. Nuestro objetivo es construir un futuro donde las personas vivan en armonía con la naturaleza.

¿Quieres ser parte de este cambio? ¡Únete a nosotros! Con tu apoyo, podemos proteger especies en peligro de extinción, preservar hábitats y promover prácticas sostenibles. Juntos, podemos hacer una diferencia real.

**¡Haz un donativo hoy mismo y ayúdanos a construir un futuro para la vida!**

(Translation note: I've used Positive Narrative Framing to emphasize the importance of taking action and making a difference in the future.)",0.4
LLM,ENG_LLM,"**Unete a la lucha por un mundo más verde**

¿Sabías que cada día, se pierden 150 especies de plantas y animales en nuestro planeta? ¿Sabías que si continuamos con esta tasa de extinción, dentro de unos años, no habrá más elefantes ni pandas?

Pero todavía hay esperanza. La WWF (Fundación Mundial para la Vida Silvestre) trabaja incansablemente para proteger la naturaleza y reducir las amenazas más graves contra la diversidad de vida en nuestro planeta.

Nuestro objetivo es construir un futuro donde las personas vivan en armonía con la naturaleza. Queremos inspirar a las comunidades locales y a las organizaciones multinacionales para que trabajen juntas por el bien común de la conservación.

**Unamos nuestras fuerzas**

Con tu apoyo, podemos:

* Proteger a los animales en peligro de extinción
* Conservar los hábitats naturales
* Educarnos y concienciar a las personas sobre la importancia de la protección ambiental

**Únete a la lucha por un mundo más verde. Unete a nosotros en este importante proyecto para el futuro de nuestra Tierra.**

(Traducción del texto original, manteniendo su estructura y contenido)",0.67
LLM,ENG_LLM,"¡Únete a la lucha por proteger nuestro planeta! La Fundación para la Vida Silvestre (WWF) es una organización dedicada a conservar la naturaleza y reducir las amenazas más graves que enfrenta la diversidad de vida en la Tierra. Nuestro objetivo es construir un futuro en el que los seres humanos vivan en armonía con la naturaleza.

¿Sabías que más de 1 de cada 5 especies animales y vegetal están en peligro de extinción debido a la deforestación, la contaminación y la pérdida de hábitat? Es hora de actuar. Con tu ayuda, podemos proteger a los animales que no tienen voz, como el gorila del Congo, el oso pardo y la ballena azul.

Nuestra misión es simple: salvar un planeta, un mundo lleno de vida. Reconciliemos las necesidades humanas con las del resto de seres que compartimos la Tierra. Juntos, podemos inspirar a otros a avanzar en la causa de la conservación y hacer del mundo un lugar más rico en vida, espíritu y maravilla natural.

¡Únete a nosotros! Dona hoy mismo y sea parte de la lucha para proteger nuestro planeta. Cada donación cuenta. ¡Juntos podemos hacer una diferencia!",0.64
